product_code,title,product_description,currency,price,product_quantity_raw,price_per_product_quantity_raw,tax_details,additional_manufacturer,manufacturers,product_info_url,country,product_img_url,availability,raw_data,raw_html
PRE5400  FPNK,Full Frame Coloured Protective Eyewear Frosted Pink,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/5400-F-PNK.jpg|./media/products/5400-F-PNK.jpg,,,
PRE5400FSEA,Full Frame Coloured Protective  Eyewear  Frosted Seabreeze,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/5400-F-SEA.jpg|./media/products/5400-F-SEA.jpg,,,
PRE5400NGRN,Full Frame Coloured Protective Eyewear Neon Green,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/PRE5400-N-GRN yeywear.jpg|./media/products/PRE5400-N-GRN yeywear.jpg,,,
PRE5400 NORG,Full Frame Coloured Protective Eyewear Neon Orange,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/5400-N-ORG.jpg|./media/products/5400-N-ORG.jpg,,,
PRE5400N-BLU,Full Frame Coloured Protective Eyewear Neon Blue,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/PRE5400-N-BLUeyewear.jpg|./media/products/PRE5400-N-BLUeyewear.jpg,,,
PRE5400ROY,Full Frame Coloured Protective  Eyewear Royal,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/pre 5400-ROY eyewear.jpg|./media/products/pre 5400-ROY eyewear.jpg,,,
PRE5400PUR,Full Frame Coloured Protective Eyewear Purple,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/PRE5400-PUR eyewear.jpg|./media/products/PRE5400-PUR eyewear.jpg,,,
PRE5400HUN,Full Frame Coloured Protective Eyewear Hunter Green,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/pre5400-HUNeyewear.jpg|./media/products/pre5400-HUNeyewear.jpg,,,
PRE5400TE,Full Frame Coloured Protective  Eyewear Teal,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/PRESTIGE TEAL EYE WERA.jpg|./media/products/PRESTIGE TEAL EYE WERA.jpg,,,
PRE5400PU,Full Frame Coloured Protective Eyewear Purple,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/PRESTIGE PURPLE EYE WEAR.gif|./media/products/PRESTIGE PURPLE EYE WEAR.gif,,,
PRE5400PI,Full Frame Coloured Protective Eyewear  Pink,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/PRESTIGE PINK EYE WEAR.gif|./media/products/PRESTIGE PINK EYE WEAR.gif,,,
PRE5400,Full Frame Coloured Protective  Eyewear Light Blue,,GBP,"£
                        15.00",1,,(Inc. VAT),,,https://www.medema.co.uk/colored_full_frame__protective_eyewear_,UK,./media/products/5400.jpg|./media/products/5400.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/_handheld_tympanometer_timpani,UK,,,,
GIM-53560,Handheld Tympanometer Timpani,,GBP,"£
                        3,840.00",1,,(Inc. VAT),,,https://www.medema.co.uk/_handheld_tympanometer_timpani,UK,./media/products/7ccaca94aa3083940483da08e3f65eb2.jpg|./media/products/7ccaca94aa3083940483da08e3f65eb2.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/hand_held_tympanomter,UK,,,,
GIM-33665,Hand Held Automatic Tympanomter,,GBP,"£
                        3,599.99",1,,(Inc. VAT),,,https://www.medema.co.uk/hand_held_tympanomter,UK,./media/products/1900d5bd37fb15993d9ef4fdf8b29a7f.jpg|./media/products/1900d5bd37fb15993d9ef4fdf8b29a7f.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,,,,
PRE5300CHO,Temple Eyewear Safety Spectacles Chocolate,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/6c8373bb03eb45faa691476c888fab2a.jpg|./media/products/6c8373bb03eb45faa691476c888fab2a.jpg,,,
PRE5300BLK,Temple Eyewear Safety Spectacles  Black,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/db00d8973941bbec808b143332d7fd13.jpg|./media/products/db00d8973941bbec808b143332d7fd13.jpg,,,
PRE5300 FGLA,Temple Eyewear Safety Spectacles Frosted Glacier,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/6ce0b48941c5f4bad814f47f738e974a.jpg|./media/products/6ce0b48941c5f4bad814f47f738e974a.jpg,,,
PRE5300TEA,Temple Eyewear Safety Spectacles Teal,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/cd373ba67117a1cb9985fc7b2acff9cc.jpg|./media/products/cd373ba67117a1cb9985fc7b2acff9cc.jpg,,,
PRE5300NORG,Temple Eyewear Safety Spectacles Orange,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/793f11a6b494a7a88c6ef3bb049e1fcf.jpg|./media/products/793f11a6b494a7a88c6ef3bb049e1fcf.jpg,,,
PRE5300PUR,Temple Eyewear Safety Spectacles Purple,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/805472229c62a899af9da15d2a0454f9.jpg|./media/products/805472229c62a899af9da15d2a0454f9.jpg,,,
PRE5300 NYEL,Temple Eyewear Safety Spectacles Yellow,,GBP,"£
                        16.20",1,,(Inc. VAT),,,https://www.medema.co.uk/safety_spectacles_with_temple_arms_in__bold_colors_,UK,./media/products/7a886304a005a88072cdc1b87ac0a48a.jpg|./media/products/7a886304a005a88072cdc1b87ac0a48a.jpg,,,
